"frostobs" "tobs" "indic" "name" "alti" "date" "flevap" "flir" "fllat" "hu1000" "hu2" "nb" "nc" "nh" "nm" "ntHm3" "nt" "pmer" "rrcv" "rrge" "sncv" "snge" "gradt1" "tprev" "ff" "month" "ddf"
"1" "0" 2.5 "13054001" "MARIGNANE" 9 2011-01-01 -0.0869397767840923 -853568.575947076 -215770.080036551 63.033683638686 87.7688070682282 0 0 0 0 0.251389725299308 0 1013.62643277852 0 5.88563051167068e-05 0 0 1.86416490720649 0.98581420277162 4.74977485199648 "1" "N"
"2" "0" 3.09999990463257 "14137001" "CARPIQUET" 67 2011-01-01 0.0113495742256755 18246.8345706923 28149.9042077585 86.7025364853291 97.6162953127898 3.41163603997772 0 0.80787427558568 0 8 3.88201165070743 1026.11346686602 0.000890952502522234 0.410046288564818 0 0 -5.82158277182132 3.00790347982431 1.48481180646893 "1" "N"
"3" "0" 4.19999980926514 "20004002" "AJACCIO" 5 2011-01-01 -0.00427998545455911 -699776.520433664 -10654.0676174161 79.555349791724 88.03643688575 0.621746060525764 0 0.0587420032534283 0.112647875532274 0.410442481603238 0.631370280403642 1013.36634128894 0 0 0 0 -0.918613001354962 4.09378043231263 1.64018091982281 "1" "E"
"4" "0" 1.29999995231628 "21473001" "OUGES" 219 2011-01-01 -0.0444937649509712 -25693.9461510181 -111543.218381882 100.001489743590 96.0440948800567 8 0 1.08932584243303 0 8 8 1022.50265001387 0 0.0913583717031088 0 0.00666851753180714 -4.78023967006447 0.466806195044796 3.54831746778274 "1" "N"
"5" "0" 0.300000011920929 "25056001" "BESANCON" 307 2011-01-01 -0.00731166088575463 -236058.648601241 -19767.3997999877 99.6912104277627 98.89816736348 7.46576634840858 0 0.930245797849238 0.366875588893890 6.8868037960583 7.52489751274425 1022.43564488664 0 0.00612308364361525 0 0.00197648227550928 -3.44969925191617 -1.33977350863745 1.65162961217184 "1" "N"
"6" "0" 3.09999990463257 "31069001" "BLAGNAC" 151 2011-01-01 -0.0272332414523859 -29746.2541503905 -67216.0494640692 71.0706818226772 94.7274689829852 8 0 4.62934279738829 0.334969981019872 8 8 1020.58436402321 0 0.0502710392013806 0 0 -1.49239823222163 3.93078247718389 3.71368444518364 "1" "W"
"7" "0" 0.100000001490116 "33281001" "MERIGNAC" 47 2011-01-01 -0.0237161532625073 -52125.0266234858 -60054.7906246045 33.3545850835240 93.8298781466178 8 0 4.41791915148496 0 8 8 1022.30166722917 0 0.00710961818685603 0 0 2.2801865521758 1.69231526516682 2.84004162710766 "1" "N"
"8" "0" 0.5 "34154001" "MAUGUIO" 2 2011-01-01 -0.0905628107154973 -944805.402745994 -224350.910290739 45.4601828811309 91.1543352688373 0 0 0 0.386163862256808 0.100330801515385 0.386163862256808 1016.11039993286 0 0 0 0 2.47239173363557 1.23174249029534 2.22243446945518 "1" "N"
"9" "0" 3.20000004768372 "35281001" "SAINT-JACQUES-DE-LA-LANDE" 36 2011-01-01 -0.00162328321764705 -539.633460819737 -4288.11197848621 80.6326119889047 98.2665686364314 3.44613590799146 0 0.267709523439408 0 8 3.55650903748029 1025.28253295898 0 0.204391847493867 0 0 -4.53370146944894 2.36367097094432 1.42054883523061 "1" "N"
"10" "0" 2.70000004768372 "44020001" "BOUGUENAIS" 26 2011-01-01 -0.00385856843426408 -252899.042520606 -9143.13683327249 99.8865847395056 98.0713498759677 7.44667271692105 0.0110408572500095 0.77484243423828 0 6.89887281796061 7.51469314554606 1025.18676689625 0 0.00670657435914631 4.31283486328496e-05 0 -3.69622049423645 0.671218517551373 1.88488978928292 "1" "N"
"11" "0" 2.09999990463257 "45055001" "BRICY" 125 2011-01-01 -0.00199889718791457 -3825.759880892 -3694.56326235645 76.3599817591955 98.2564757173216 7.54409651474873 0 1.55798616988739 0 8 7.65624952316284 1024.35688888068 0.00990113465650744 0.174631135486315 0.0302352241213004 0 -3.39188885320405 0.46336122825744 3.37705476504488 "1" "N"
"12" "0" 0.699999988079071 "51183001" "COURCY" 91 2011-01-01 0.00380500228789086 -56423.1521751913 10515.1510462767 75.6964707847257 98.8164464633769 7.87288792899925 0 1.72418771483352 0 7.95291423797607 7.9392940882535 1024.67323303223 0.003433494342062 0.0450015323408487 0.310085293900553 0.0145391084024591 -4.2872534025082 0.0167122273720668 2.13779247936155 "1" "N"
